biosampleId,id,individualId,info,libraryLayout,librarySelection,librarySource|id,librarySource|label,libraryStrategy,platform,platformModel|id,platformModel|label,runDate
HG01253,SRR00000409,HG01253,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01254,SRR00000410,HG01254,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01256,SRR00000411,HG01256,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01257,SRR00000412,HG01257,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01259,SRR00000413,HG01259,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01260,SRR00000414,HG01260,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01269,SRR00000415,HG01269,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01271,SRR00000416,HG01271,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01272,SRR00000417,HG01272,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01275,SRR00000418,HG01275,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01277,SRR00000419,HG01277,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01280,SRR00000420,HG01280,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01281,SRR00000421,HG01281,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01284,SRR00000422,HG01284,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01286,SRR00000423,HG01286,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01302,SRR00000424,HG01302,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01303,SRR00000425,HG01303,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01305,SRR00000426,HG01305,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01308,SRR00000427,HG01308,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01311,SRR00000428,HG01311,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01312,SRR00000429,HG01312,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01323,SRR00000430,HG01323,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01325,SRR00000431,HG01325,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01326,SRR00000432,HG01326,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01334,SRR00000433,HG01334,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01341,SRR00000434,HG01341,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01342,SRR00000435,HG01342,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01344,SRR00000436,HG01344,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01345,SRR00000437,HG01345,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01348,SRR00000438,HG01348,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01350,SRR00000439,HG01350,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01351,SRR00000440,HG01351,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01353,SRR00000441,HG01353,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01354,SRR00000442,HG01354,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01356,SRR00000443,HG01356,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01357,SRR00000444,HG01357,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01359,SRR00000445,HG01359,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01360,SRR00000446,HG01360,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01362,SRR00000447,HG01362,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01363,SRR00000448,HG01363,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01365,SRR00000449,HG01365,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01366,SRR00000450,HG01366,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01369,SRR00000451,HG01369,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01372,SRR00000452,HG01372,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01374,SRR00000453,HG01374,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01375,SRR00000454,HG01375,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01377,SRR00000455,HG01377,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01378,SRR00000456,HG01378,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01383,SRR00000457,HG01383,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01384,SRR00000458,HG01384,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01389,SRR00000459,HG01389,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01390,SRR00000460,HG01390,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01392,SRR00000461,HG01392,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01393,SRR00000462,HG01393,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01395,SRR00000463,HG01395,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01396,SRR00000464,HG01396,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01398,SRR00000465,HG01398,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01402,SRR00000466,HG01402,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01403,SRR00000467,HG01403,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01405,SRR00000468,HG01405,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01412,SRR00000469,HG01412,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01413,SRR00000470,HG01413,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01414,SRR00000471,HG01414,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01431,SRR00000472,HG01431,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01432,SRR00000473,HG01432,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01435,SRR00000474,HG01435,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01437,SRR00000475,HG01437,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01438,SRR00000476,HG01438,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01440,SRR00000477,HG01440,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01441,SRR00000478,HG01441,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01443,SRR00000479,HG01443,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01444,SRR00000480,HG01444,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01447,SRR00000481,HG01447,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01455,SRR00000482,HG01455,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01456,SRR00000483,HG01456,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01459,SRR00000484,HG01459,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01461,SRR00000485,HG01461,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01462,SRR00000486,HG01462,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01464,SRR00000487,HG01464,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01465,SRR00000488,HG01465,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01468,SRR00000489,HG01468,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01474,SRR00000490,HG01474,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01479,SRR00000491,HG01479,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01485,SRR00000492,HG01485,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01486,SRR00000493,HG01486,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01488,SRR00000494,HG01488,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01489,SRR00000495,HG01489,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01491,SRR00000496,HG01491,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01492,SRR00000497,HG01492,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01494,SRR00000498,HG01494,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01495,SRR00000499,HG01495,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01497,SRR00000500,HG01497,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01498,SRR00000501,HG01498,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01500,SRR00000502,HG01500,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01501,SRR00000503,HG01501,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01503,SRR00000504,HG01503,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01504,SRR00000505,HG01504,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01506,SRR00000506,HG01506,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01507,SRR00000507,HG01507,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01509,SRR00000508,HG01509,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01510,SRR00000509,HG01510,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01512,SRR00000510,HG01512,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01513,SRR00000511,HG01513,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01515,SRR00000512,HG01515,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01516,SRR00000513,HG01516,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01518,SRR00000514,HG01518,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01519,SRR00000515,HG01519,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01521,SRR00000516,HG01521,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01522,SRR00000517,HG01522,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01524,SRR00000518,HG01524,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01525,SRR00000519,HG01525,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01527,SRR00000520,HG01527,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01528,SRR00000521,HG01528,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01530,SRR00000522,HG01530,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01531,SRR00000523,HG01531,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01536,SRR00000524,HG01536,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01537,SRR00000525,HG01537,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01550,SRR00000526,HG01550,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01551,SRR00000527,HG01551,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01556,SRR00000528,HG01556,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01565,SRR00000529,HG01565,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01566,SRR00000530,HG01566,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01571,SRR00000531,HG01571,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01572,SRR00000532,HG01572,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01577,SRR00000533,HG01577,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01578,SRR00000534,HG01578,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01583,SRR00000535,HG01583,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01586,SRR00000536,HG01586,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01589,SRR00000537,HG01589,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01593,SRR00000538,HG01593,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01595,SRR00000539,HG01595,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01596,SRR00000540,HG01596,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01597,SRR00000541,HG01597,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01598,SRR00000542,HG01598,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01599,SRR00000543,HG01599,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01600,SRR00000544,HG01600,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01602,SRR00000545,HG01602,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01603,SRR00000546,HG01603,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01605,SRR00000547,HG01605,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01606,SRR00000548,HG01606,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01607,SRR00000549,HG01607,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01608,SRR00000550,HG01608,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01610,SRR00000551,HG01610,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01612,SRR00000552,HG01612,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01613,SRR00000553,HG01613,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
HG01615,SRR00000554,HG01615,,PAIRED,RANDOM,GENEPIO:0001966,genomic Source,Short read Illumina WGS sequencing,Illumina,OBI:0002048,Illumina HiSeq 2000,2015-09-30
